alpha, beta, gamma, chamfer_distance
0.0, 0.0, 0.0, 0.012036371929574761
0.0, 0.0, 0.5, 0.01339603210799771
0.0, 0.0, 1.0, 0.01339603210799771
0.0, 0.5, 0.0, 0.013856297789608165
0.0, 0.5, 0.5, 0.013856297789608165
0.0, 0.5, 1.0, 0.013856297789608165
0.0, 1.0, 0.0, 0.013856297789608165
0.0, 1.0, 0.5, 0.013856297789608165
0.0, 1.0, 1.0, 0.013856297789608165
0.5, 0.0, 0.0, 0.01376656791661086
0.5, 0.0, 0.5, 0.015505146863870466
0.5, 0.0, 1.0, 0.015087569546887818
0.5, 0.5, 0.0, 0.01420105809578769
0.5, 0.5, 0.5, 0.01420105809578769
0.5, 0.5, 1.0, 0.01420105809578769
0.5, 1.0, 0.0, 0.01420105809578769
0.5, 1.0, 0.5, 0.01420105809578769
0.5, 1.0, 1.0, 0.01420105809578769
1.0, 0.0, 0.0, 0.01376656791661086
1.0, 0.0, 0.5, 0.014632835900412405
1.0, 0.0, 1.0, 0.015505146863870466
1.0, 0.5, 0.0, 0.01420105809578769
1.0, 0.5, 0.5, 0.01420105809578769
1.0, 0.5, 1.0, 0.01420105809578769
1.0, 1.0, 0.0, 0.01420105809578769
1.0, 1.0, 0.5, 0.01420105809578769
1.0, 1.0, 1.0, 0.01420105809578769
